clausula,contenido,dictamen,confianza,referencia,justificacion,longitud_original
Primera.,Primera. Regulación El presente contrato se regulará por lo aquí pactado y en su defecto por lo esta..., LEGAL,94.94%,El presente contrato se regulará por lo aquí pacta...,La cláusula coincide con patrones legales válidos.,145
Segunda.,Segunda. Objeto y entrega de la posesión. El contenido del contrato es el alquiler de un inmueble co..., LEGAL,87.04%,El contenido del contrato es el alquiler de un inm...,La cláusula coincide con patrones legales válidos.,1086
Tercera.,Tercera. Plazo de duración (Si el arrendatario es persona física) El plazo de duración del presente ..., LEGAL,75.90%,El plazo de duración del presente contrato de arre...,La cláusula coincide con patrones legales válidos.,495
Cuarta.,Cuarta. Facultad de recuperar la vivienda por parte del arrendador. (La inclusión de esta cláusula e..., REVISIÓN (Sospecha leve),73.67%,El arrendador podrá usar la vivienda durante el co...,Posible conflicto: Vulnera el derecho a la inviolabilidad del domicilio y la exclusividad de uso otorgada por el alquiler.,866
Quinta.,Quinta. Desistimiento por parte del arrendatario. (La inclusión de esta cláusula está sujeta al libr..., LEGAL,84.25%,El arrendatario podrá desistir del contrato una ve...,La cláusula coincide con patrones legales válidos.,521
Sexta.,Sexta. Prórroga tácita (Si el arrendatario es persona física) Una vez transcurridos como mínimo cinc..., REVISIÓN (Sospecha leve),76.95%,Se establece duración temporal para evitar derecho...,Posible conflicto: El fraude en la causa de temporalidad convierte el contrato automáticamente en uno de vivienda habitual.,579
Séptima.,Séptima. Renta Se fija como renta mensual la cantidad de …… euros. Se pagará mensualmente por meses ..., LEGAL,68.99%,Se fija como renta mensual la cantidad de 900 euro...,La cláusula coincide con patrones legales válidos.,563
Octava.,Octava. Actualización de la renta. (La inclusión de esta cláusula está sujeta al libre acuerdo de la..., LEGAL,81.65%,La renta solo podrá ser actualizada en la fecha en...,La cláusula coincide con patrones legales válidos.,1304
Novena.,"Novena. Gastos y servicios El precio del arrendamiento incluye los gastos generales del inmueble, se...", LEGAL,74.35%,El precio del arrendamiento incluye los gastos gen...,La cláusula coincide con patrones legales válidos.,363
Décima.,"Décima. Fianza En el momento de la firma de este contrato, el arrendatario hace entrega al arrendado...", LEGAL,80.55%,"En el momento de la firma de este contrato, el arr...",La cláusula coincide con patrones legales válidos.,902
Undécima.,"Undécima. Conservación de la vivienda El arrendador se compromete a realizar, sin derecho a elevar p...", LEGAL,72.61%,El arrendador podrá recuperar la vivienda por nece...,La cláusula coincide con patrones legales válidos.,654
Duodécima.,Duodécima. Obras del arrendatario El arrendatario no podrá realizar en la vivienda obras que modifiq..., LEGAL,81.31%,El contrato no se podrá ceder o subarrendar por el...,La cláusula coincide con patrones legales válidos.,792
Décimo tercera.,Décimo tercera. Cesión y subarriendo El contrato no se podrá ceder o subarrendar por el arrendatario..., LEGAL,92.19%,El contrato no se podrá ceder o subarrendar por el...,La cláusula coincide con patrones legales válidos.,363
Décimo cuarta.,Décimo cuarta. Resolución del contrato El incumplimiento de cualquiera de las cláusulas de este cont..., LEGAL,70.87%,El contrato se prorrogará conforme a la legislació...,La cláusula coincide con patrones legales válidos.,234
Décimo quinta.,Décimo quinta. Resolución de conflictos. . La regla general es que el incumplimiento por cualquiera ..., LEGAL,72.99%,El presente contrato se regulará por lo aquí pacta...,La cláusula coincide con patrones legales válidos.,2487
